name,port,protocol
tcpmux,1,tcp
echo,7,tcp
echo,7,udp
discard,9,tcp
discard,9,udp
systat,11,tcp
daytime,13,tcp
daytime,13,udp
netstat,15,tcp
qotd,17,tcp
chargen,19,tcp
chargen,19,udp
ftp-data,20,tcp
ftp,21,tcp
fsp,21,udp
ssh,22,tcp
telnet,23,tcp
smtp,25,tcp
time,37,tcp
time,37,udp
whois,43,tcp
tacacs,49,tcp
tacacs,49,udp
domain,53,tcp
domain,53,udp
bootps,67,udp
bootpc,68,udp
tftp,69,udp
gopher,70,tcp
finger,79,tcp
http,80,tcp
kerberos,88,tcp
kerberos,88,udp
iso-tsap,102,tcp
acr-nema,104,tcp
pop3,110,tcp
sunrpc,111,tcp
sunrpc,111,udp
auth,113,tcp
nntp,119,tcp
ntp,123,udp
epmap,135,tcp
netbios-ns,137,tcp
netbios-ns,137,udp
netbios-dgm,138,tcp
netbios-dgm,138,udp
netbios-ssn,139,tcp
netbios-ssn,139,udp
imap2,143,tcp
snmp,161,tcp
snmp,161,udp
snmp-trap,162,tcp
snmp-trap,162,udp
cmip-man,163,tcp
cmip-man,163,udp
cmip-agent,164,tcp
cmip-agent,164,udp
mailq,174,tcp
xdmcp,177,udp
bgp,179,tcp
smux,199,tcp
qmtp,209,tcp
z3950,210,tcp
ipx,213,udp
ptp-event,319,udp
ptp-general,320,udp
pawserv,345,tcp
zserv,346,tcp
rpc2portmap,369,tcp
rpc2portmap,369,udp
codaauth2,370,tcp
codaauth2,370,udp
clearcase,371,udp
ldap,389,tcp
ldap,389,udp
svrloc,427,tcp
svrloc,427,udp
https,443,tcp
snpp,444,tcp
microsoft-ds,445,tcp
microsoft-ds,445,udp
kpasswd,464,tcp
kpasswd,464,udp
submissions,465,tcp
saft,487,tcp
isakmp,500,udp
rtsp,554,tcp
rtsp,554,udp
nqs,607,tcp
asf-rmcp,623,udp
qmqp,628,tcp
ipp,631,tcp
exec,512,tcp
biff,512,udp
login,513,tcp
who,513,udp
shell,514,tcp
syslog,514,udp
printer,515,tcp
talk,517,udp
ntalk,518,udp
route,520,udp
gdomap,538,tcp
gdomap,538,udp
uucp,540,tcp
klogin,543,tcp
kshell,544,tcp
dhcpv6-client,546,udp
dhcpv6-server,547,udp
afpovertcp,548,tcp
nntps,563,tcp
submission,587,tcp
ldaps,636,tcp
ldaps,636,udp
tinc,655,tcp
